Date,Type,Name,Start,End,Duration
10/30/15,place,Place in Manhattan,2015-10-30T00:00:00-04:00,2015-10-30T00:08:33-04:00,513
10/30/15,move,transport,2015-10-30T00:08:33-04:00,2015-10-30T00:19:13-04:00,640
10/30/15,place,Place in Manhattan,2015-10-30T00:19:13-04:00,2015-10-30T08:39:41-04:00,30028
10/30/15,move,walking,2015-10-30T08:39:41-04:00,2015-10-30T08:44:57-04:00,316
10/30/15,place,Place in Manhattan,2015-10-30T08:44:57-04:00,2015-10-30T09:14:18-04:00,1761
10/30/15,move,walking,2015-10-30T09:14:18-04:00,2015-10-30T09:20:05-04:00,347
10/30/15,move,transport,2015-10-30T09:20:05-04:00,2015-10-30T09:24:35-04:00,270
10/30/15,move,walking,2015-10-30T09:24:35-04:00,2015-10-30T09:30:52-04:00,377
10/30/15,place,Place in Manhattan,2015-10-30T09:30:52-04:00,2015-10-30T09:42:56-04:00,724
10/30/15,move,walking,2015-10-30T09:42:56-04:00,2015-10-30T09:49:06-04:00,370
10/30/15,move,transport,2015-10-30T09:49:06-04:00,2015-10-30T09:52:36-04:00,210
10/30/15,move,walking,2015-10-30T09:52:36-04:00,2015-10-30T10:02:11-04:00,575
10/30/15,place,Place in Manhattan,2015-10-30T10:02:11-04:00,2015-10-30T11:35:07-04:00,5576
10/30/15,move,walking,2015-10-30T11:35:07-04:00,2015-10-30T11:41:45-04:00,398
10/30/15,place,Place in Manhattan,2015-10-30T11:41:46-04:00,2015-10-30T12:02:44-04:00,1258
10/30/15,move,walking,2015-10-30T12:02:44-04:00,2015-10-30T12:09:34-04:00,410
10/30/15,move,transport,2015-10-30T12:09:34-04:00,2015-10-30T12:12:30-04:00,176
10/30/15,place,Place in Penn Station South,2015-10-30T12:12:30-04:00,2015-10-30T15:10:17-04:00,10667
10/30/15,move,walking,2015-10-30T15:10:17-04:00,2015-10-30T15:14:10-04:00,233
10/30/15,place,Place in Penn Station South,2015-10-30T15:14:11-04:00,2015-10-30T15:27:09-04:00,778
10/30/15,move,walking,2015-10-30T15:27:09-04:00,2015-10-30T15:33:31-04:00,382
10/30/15,place,Place in Manhattan,2015-10-30T15:33:31-04:00,2015-10-30T17:40:16-04:00,7605
