Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
10/20/15,transport,transport,2015-10-20T17:22:07-04:00,2015-10-20T17:42:58-04:00,1251,4.074,0,0
10/20/15,walking,walking,2015-10-20T17:42:57-04:00,2015-10-20T17:48:28-04:00,331,0.247,331,0
10/20/15,walking,walking,2015-10-20T18:09:54-04:00,2015-10-20T18:18:34-04:00,520,0.375,520,0
10/20/15,walking,walking,2015-10-20T18:35:47-04:00,2015-10-20T18:43:43-04:00,476,0.355,476,0
10/21/15,walking,walking,2015-10-21T07:13:39-04:00,2015-10-21T07:18:45-04:00,306,0.149,306,0
10/21/15,transport,transport,2015-10-21T08:06:15-04:00,2015-10-21T08:13:27-04:00,432,4.230,0,0
10/21/15,cycling,cycling,2015-10-21T12:56:42-04:00,2015-10-21T13:05:39-04:00,537,1.486,0,0
10/21/15,walking,walking,2015-10-21T13:11:08-04:00,2015-10-21T13:19:26-04:00,498,0.270,580,0
10/21/15,transport,transport,2015-10-21T13:57:30-04:00,2015-10-21T14:14:10-04:00,1000,1.324,0,0
10/21/15,walking,walking,2015-10-21T14:14:10-04:00,2015-10-21T14:18:14-04:00,244,0.182,244,0
10/21/15,walking,walking,2015-10-21T14:58:35-04:00,2015-10-21T14:59:24-04:00,49,0.021,66,0
10/21/15,walking,walking,2015-10-21T15:00:00-04:00,2015-10-21T15:00:36-04:00,36,0.016,50,0
10/21/15,walking,walking,2015-10-21T15:00:29-04:00,2015-10-21T15:08:21-04:00,472,0.265,549,0
10/21/15,walking,walking,2015-10-21T15:08:22-04:00,2015-10-21T15:11:39-04:00,197,0.132,285,0
10/21/15,walking,walking,2015-10-21T16:34:25-04:00,2015-10-21T16:36:01-04:00,96,0.040,128,0
10/21/15,walking,walking,2015-10-21T17:03:11-04:00,2015-10-21T17:05:19-04:00,128,0.081,174,0
10/21/15,walking,walking,2015-10-21T18:01:12-04:00,2015-10-21T18:05:51-04:00,279,0.186,398,0
10/21/15,transport,transport,2015-10-21T18:55:48-04:00,2015-10-21T18:59:26-04:00,218,4.024,0,0
10/21/15,walking,walking,2015-10-21T19:00:25-04:00,2015-10-21T19:02:52-04:00,147,0.094,202,0
10/21/15,walking,walking,2015-10-21T20:09:33-04:00,2015-10-21T20:10:25-04:00,52,0.022,69,0
10/21/15,walking,walking,2015-10-21T21:57:24-04:00,2015-10-21T21:59:49-04:00,145,0.107,230,0
10/21/15,walking,walking,2015-10-21T22:00:00-04:00,2015-10-21T22:00:22-04:00,22,0.009,29,0
10/21/15,walking,walking,2015-10-21T22:02:11-04:00,2015-10-21T22:06:47-04:00,276,0.163,388,0
10/21/15,walking,walking,2015-10-21T22:06:47-04:00,2015-10-21T22:07:49-04:00,62,0.026,85,0
10/21/15,walking,walking,2015-10-21T22:38:35-04:00,2015-10-21T22:46:09-04:00,454,0.325,567,0
10/21/15,walking,walking,2015-10-21T22:49:44-04:00,2015-10-21T22:49:54-04:00,10,0.004,13,0
10/21/15,walking,walking,2015-10-21T22:50:22-04:00,2015-10-21T22:57:13-04:00,411,0.242,516,0
10/21/15,walking,walking,2015-10-21T22:57:13-04:00,2015-10-21T22:57:30-04:00,17,0.007,23,0
10/22/15,walking,walking,2015-10-22T06:38:17-04:00,2015-10-22T06:40:31-04:00,134,0.091,196,0
10/22/15,transport,transport,2015-10-22T06:44:17-04:00,2015-10-22T07:25:43-04:00,2486,13.840,0,0
10/22/15,walking,walking,2015-10-22T07:25:43-04:00,2015-10-22T07:27:45-04:00,122,0.152,245,0
10/22/15,walking,walking,2015-10-22T07:27:45-04:00,2015-10-22T07:33:47-04:00,362,0.231,494,0
10/22/15,walking,walking,2015-10-22T08:01:59-04:00,2015-10-22T08:03:49-04:00,110,0.045,146,0
10/22/15,walking,walking,2015-10-22T08:09:24-04:00,2015-10-22T08:21:46-04:00,742,0.595,1086,0
10/22/15,transport,transport,2015-10-22T08:21:46-04:00,2015-10-22T09:11:17-04:00,2971,9.577,0,0
10/22/15,walking,walking,2015-10-22T09:11:17-04:00,2015-10-22T09:18:23-04:00,426,0.302,648,0
10/22/15,walking,walking,2015-10-22T10:15:10-04:00,2015-10-22T10:15:57-04:00,47,0.020,63,0
10/22/15,walking,walking,2015-10-22T11:44:42-04:00,2015-10-22T11:47:47-04:00,185,0.118,253,0
10/22/15,walking,walking,2015-10-22T12:26:11-04:00,2015-10-22T12:27:58-04:00,107,0.045,143,0
10/22/15,walking,walking,2015-10-22T13:01:25-04:00,2015-10-22T13:04:44-04:00,199,0.153,329,0
10/22/15,walking,walking,2015-10-22T14:05:48-04:00,2015-10-22T14:07:19-04:00,91,0.041,131,0
10/22/15,walking,walking,2015-10-22T15:22:06-04:00,2015-10-22T15:26:38-04:00,272,0.160,344,0
10/22/15,walking,walking,2015-10-22T17:00:40-04:00,2015-10-22T17:01:25-04:00,45,0.029,92,0
10/22/15,walking,walking,2015-10-22T17:03:19-04:00,2015-10-22T17:11:16-04:00,477,0.226,630,0
10/22/15,walking,walking,2015-10-22T17:11:22-04:00,2015-10-22T17:12:31-04:00,69,0.029,92,0
10/22/15,transport,transport,2015-10-22T17:25:46-04:00,2015-10-22T17:27:47-04:00,121,4.650,0,0
10/22/15,walking,walking,2015-10-22T17:27:48-04:00,2015-10-22T17:28:25-04:00,37,0.016,49,0
10/22/15,walking,walking,2015-10-22T17:36:05-04:00,2015-10-22T17:52:07-04:00,962,0.739,1198,0
10/22/15,walking,walking,2015-10-22T17:52:06-04:00,2015-10-22T17:52:07-04:00,1,0.001,1,0
10/22/15,walking,walking,2015-10-22T18:21:52-04:00,2015-10-22T18:21:59-04:00,7,0.003,9,0
10/22/15,walking,walking,2015-10-22T18:24:56-04:00,2015-10-22T18:29:04-04:00,248,0.194,260,0
10/22/15,walking,walking,2015-10-22T18:32:31-04:00,2015-10-22T18:34:31-04:00,120,0.051,163,0
10/22/15,walking,walking,2015-10-22T19:10:49-04:00,2015-10-22T19:13:51-04:00,182,0.113,242,0
10/22/15,walking,walking,2015-10-22T20:01:07-04:00,2015-10-22T20:03:31-04:00,144,0.089,192,0
10/22/15,walking,walking,2015-10-22T21:06:21-04:00,2015-10-22T21:06:57-04:00,36,0.015,48,0
10/22/15,walking,walking,2015-10-22T22:12:15-04:00,2015-10-22T23:05:31-04:00,3196,2.113,4079,0
10/22/15,walking,walking,2015-10-22T23:05:31-04:00,2015-10-22T23:08:58-04:00,207,0.142,304,0
10/22/15,walking,walking,2015-10-22T23:33:33-04:00,2015-10-22T23:36:44-04:00,191,0.103,215,0
10/22/15,walking,walking,2015-10-22T23:37:30-04:00,2015-10-22T23:37:48-04:00,18,0.007,24,0
10/23/15,walking,walking,2015-10-23T07:53:04-04:00,2015-10-23T07:53:21-04:00,17,0.007,22,0
10/23/15,walking,walking,2015-10-23T08:02:21-04:00,2015-10-23T08:07:21-04:00,300,0.186,400,0
10/23/15,walking,walking,2015-10-23T08:02:31-04:00,2015-10-23T08:06:06-04:00,215,0.113,239,0
10/23/15,walking,walking,2015-10-23T08:06:06-04:00,2015-10-23T08:09:29-04:00,203,0.147,315,0
10/23/15,walking,walking,2015-10-23T08:51:06-04:00,2015-10-23T08:56:54-04:00,348,0.201,447,0
10/23/15,walking,walking,2015-10-23T08:56:54-04:00,2015-10-23T08:57:10-04:00,16,0.007,22,0
10/23/15,walking,walking,2015-10-23T09:39:40-04:00,2015-10-23T09:39:55-04:00,15,0.006,20,0
10/23/15,walking,walking,2015-10-23T09:39:57-04:00,2015-10-23T09:44:27-04:00,270,0.192,435,0
10/23/15,transport,transport,2015-10-23T09:44:27-04:00,2015-10-23T10:04:00-04:00,1173,4.095,0,0
10/23/15,walking,walking,2015-10-23T10:04:09-04:00,2015-10-23T10:05:56-04:00,107,0.050,162,0
10/23/15,walking,walking,2015-10-23T11:12:45-04:00,2015-10-23T11:14:57-04:00,132,0.082,176,0
10/23/15,walking,walking,2015-10-23T12:04:53-04:00,2015-10-23T12:07:30-04:00,157,0.102,219,0
10/23/15,walking,walking,2015-10-23T14:00:58-04:00,2015-10-23T14:06:39-04:00,341,0.217,466,0
10/23/15,walking,walking,2015-10-23T14:54:17-04:00,2015-10-23T15:24:43-04:00,1826,1.128,2347,0
10/23/15,walking,walking,2015-10-23T15:45:03-04:00,2015-10-23T15:45:20-04:00,17,0.007,23,0
10/23/15,walking,walking,2015-10-23T15:45:18-04:00,2015-10-23T15:49:26-04:00,248,0.206,345,0
10/23/15,walking,walking,2015-10-23T15:49:26-04:00,2015-10-23T15:50:19-04:00,53,0.024,76,0
10/23/15,walking,walking,2015-10-23T16:03:46-04:00,2015-10-23T16:05:20-04:00,94,0.039,125,0
10/23/15,walking,walking,2015-10-23T16:27:33-04:00,2015-10-23T16:30:10-04:00,157,0.054,170,0
10/23/15,transport,transport,2015-10-23T16:30:10-04:00,2015-10-23T16:46:41-04:00,991,4.037,0,0
10/23/15,walking,walking,2015-10-23T16:46:41-04:00,2015-10-23T16:52:44-04:00,363,0.256,550,0
