Date,Type,Name,Start,End,Duration
11/1/15,place,Place in Manhattan,2015-11-01T01:06:17-04:00,2015-11-01T08:34:20-05:00,30483
11/1/15,move,walking,2015-11-01T08:34:20-05:00,2015-11-01T08:40:46-05:00,386
11/1/15,place,Place in Manhattan,2015-11-01T08:40:47-05:00,2015-11-01T10:30:46-05:00,6599
11/1/15,place,Place in Manhattan,2015-11-01T10:30:47-05:00,2015-11-01T12:42:59-05:00,7932
11/1/15,move,walking,2015-11-01T12:42:59-05:00,2015-11-01T12:56:12-05:00,793
11/1/15,place,Place in Yorkville,2015-11-01T12:56:12-05:00,2015-11-01T13:02:06-05:00,354
11/1/15,move,walking,2015-11-01T13:02:06-05:00,2015-11-01T13:08:13-05:00,367
11/1/15,place,Place in Yorkville,2015-11-01T13:08:12-05:00,2015-11-01T13:23:59-05:00,947
11/1/15,place,Place in Yorkville,2015-11-01T13:23:59-05:00,2015-11-01T13:46:04-05:00,1325
11/1/15,place,Place in Yorkville,2015-11-01T13:47:20-05:00,2015-11-01T13:55:17-05:00,477
11/1/15,move,walking,2015-11-01T13:55:17-05:00,2015-11-01T14:06:27-05:00,670
11/1/15,place,Place in Yorkville,2015-11-01T14:06:26-05:00,2015-11-01T14:33:19-05:00,1613
11/1/15,move,walking,2015-11-01T14:33:19-05:00,2015-11-01T14:52:34-05:00,1155
11/1/15,place,Place in Manhattan,2015-11-01T14:52:34-05:00,2015-11-01T15:13:41-05:00,1267
11/1/15,move,walking,2015-11-01T15:13:41-05:00,2015-11-01T15:19:36-05:00,355
11/1/15,place,Place in Manhattan,2015-11-01T15:19:36-05:00,2015-11-01T15:49:38-05:00,1802
11/1/15,move,transport,2015-11-01T15:49:38-05:00,2015-11-01T15:52:27-05:00,169
11/1/15,move,walking,2015-11-01T15:52:28-05:00,2015-11-01T15:56:58-05:00,270
11/1/15,move,transport,2015-11-01T15:56:58-05:00,2015-11-01T16:36:12-05:00,2354
11/1/15,move,walking,2015-11-01T16:36:12-05:00,2015-11-01T16:38:48-05:00,156
11/1/15,place,Place in Englewood,2015-11-01T16:38:48-05:00,2015-11-01T17:05:01-05:00,1573
11/1/15,move,transport,2015-11-01T17:05:01-05:00,2015-11-01T17:07:16-05:00,135
11/1/15,place,Place in Englewood,2015-11-01T17:07:15-05:00,2015-11-01T18:47:08-05:00,5993
11/1/15,move,transport,2015-11-01T18:47:08-05:00,2015-11-01T18:55:48-05:00,520
11/1/15,move,walking,2015-11-01T18:55:47-05:00,2015-11-01T19:00:33-05:00,286
