Date,Activity,Group,Duration,Distance,Steps,Calories
10/26/15,walking,walking,4813,3.380,6246,0
10/26/15,transport,transport,2252,8.887,0,0
10/27/15,walking,walking,4766,3.697,6274,0
10/27/15,transport,transport,1402,7.407,0,0
10/27/15,cycling,cycling,465,0.815,0,0
10/28/15,walking,walking,4138,2.850,5658,0
10/28/15,transport,transport,4438,28.834,0,0
10/29/15,walking,walking,4861,3.040,6402,0
10/29/15,transport,transport,1702,7.999,0,0
10/30/15,walking,walking,4018,2.453,4958,0
10/30/15,transport,transport,1296,6.218,0,0
10/31/15,walking,walking,327,0.170,435,0
11/1/15,walking,walking,6925,4.631,9738,0
11/1/15,transport,transport,3178,25.407,0,0
