Date,Activity,Group,Duration,Distance,Steps,Calories
10/20/15,walking,walking,1327,0.977,1327,0
10/20/15,transport,transport,1251,4.074,0,0
10/21/15,walking,walking,3901,2.342,4902,0
10/21/15,transport,transport,1650,9.578,0,0
10/21/15,cycling,cycling,537,1.486,0,0
10/22/15,walking,walking,8737,5.824,11676,0
10/22/15,transport,transport,5578,28.067,0,0
10/23/15,walking,walking,4896,3.032,6582,0
10/23/15,transport,transport,2164,8.133,0,0
10/24/15,walking,walking,745,0.526,925,0
10/25/15,walking,walking,4042,2.863,5850,0
10/25/15,transport,transport,2342,8.708,0,0
10/26/15,walking,walking,4813,3.380,6246,0
10/26/15,transport,transport,2252,8.887,0,0
10/27/15,walking,walking,4766,3.697,6274,0
10/27/15,transport,transport,1402,7.407,0,0
10/27/15,cycling,cycling,465,0.815,0,0
10/28/15,walking,walking,4138,2.850,5658,0
10/28/15,transport,transport,4438,28.834,0,0
10/29/15,walking,walking,4861,3.040,6402,0
10/29/15,transport,transport,1702,7.999,0,0
10/30/15,walking,walking,4018,2.453,4958,0
10/30/15,transport,transport,1296,6.218,0,0
10/31/15,walking,walking,327,0.170,435,0
11/1/15,walking,walking,6925,4.631,9738,0
11/1/15,transport,transport,3178,25.407,0,0
11/2/15,walking,walking,2140,1.627,2954,0
11/3/15,walking,walking,1686,1.316,2421,0
11/4/15,walking,walking,3248,2.264,4382,0
11/4/15,transport,transport,2311,7.432,0,0
