Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
10/26/15,walking,walking,2015-10-26T00:02:09-04:00,2015-10-26T00:04:09-04:00,120,0.037,111,0
10/26/15,walking,walking,2015-10-26T08:29:50-04:00,2015-10-26T08:36:14-04:00,384,0.254,695,0
10/26/15,walking,walking,2015-10-26T08:45:37-04:00,2015-10-26T08:47:07-04:00,90,0.053,171,0
10/26/15,running,running,2015-10-26T08:48:37-04:00,2015-10-26T09:07:08-04:00,1111,1.592,2847,0
10/26/15,walking,walking,2015-10-26T09:07:08-04:00,2015-10-26T09:14:24-04:00,436,0.360,773,0
10/26/15,cycling,cycling,2015-10-26T08:36:15-04:00,2015-10-26T08:56:15-04:00,1200,0.000,0,0
10/26/15,rowing,,2015-10-26T08:36:15-04:00,2015-10-26T08:56:15-04:00,1200,0.000,0,0
10/26/15,walking,walking,2015-10-26T09:38:07-04:00,2015-10-26T09:43:51-04:00,344,0.254,597,0
10/26/15,walking,walking,2015-10-26T10:45:51-04:00,2015-10-26T10:46:21-04:00,30,0.016,50,0
10/26/15,walking,walking,2015-10-26T10:50:46-04:00,2015-10-26T10:57:00-04:00,374,0.244,647,0
10/26/15,walking,walking,2015-10-26T11:20:52-04:00,2015-10-26T11:24:52-04:00,240,0.150,322,0
10/26/15,walking,walking,2015-10-26T12:40:53-04:00,2015-10-26T12:45:23-04:00,270,0.188,403,0
10/26/15,walking,walking,2015-10-26T14:05:26-04:00,2015-10-26T14:06:25-04:00,59,0.025,83,0
10/26/15,walking,walking,2015-10-26T17:42:22-04:00,2015-10-26T17:44:50-04:00,148,0.086,184,0
10/26/15,walking,walking,2015-10-26T18:37:12-04:00,2015-10-26T18:38:42-04:00,90,0.043,141,0
10/26/15,walking,walking,2015-10-26T19:04:14-04:00,2015-10-26T19:21:55-04:00,1061,0.840,1803,0
10/26/15,train,transport,2015-10-26T19:17:45-04:00,2015-10-26T19:27:46-04:00,601,2.181,0,0
10/26/15,walking,walking,2015-10-26T19:27:46-04:00,2015-10-26T19:33:18-04:00,332,0.226,515,0
10/26/15,walking,walking,2015-10-26T19:53:37-04:00,2015-10-26T19:53:51-04:00,14,0.004,14,0
10/26/15,walking,walking,2015-10-26T19:56:06-04:00,2015-10-26T20:11:37-04:00,931,0.849,1584,0
10/26/15,walking,walking,2015-10-26T20:14:02-04:00,2015-10-26T20:15:02-04:00,60,0.028,90,0
10/26/15,walking,walking,2015-10-26T20:29:58-04:00,2015-10-26T20:40:33-04:00,635,0.674,1043,0
10/26/15,bus,transport,2015-10-26T20:40:33-04:00,2015-10-26T20:54:34-04:00,841,1.491,0,0
10/26/15,walking,walking,2015-10-26T20:54:34-04:00,2015-10-26T21:02:32-04:00,478,0.298,651,0
10/26/15,walking,walking,2015-10-26T21:02:32-04:00,2015-10-26T21:04:05-04:00,93,0.042,133,0
10/26/15,walking,walking,2015-10-26T23:18:46-04:00,2015-10-26T23:19:16-04:00,30,0.009,30,0
