Date,Type,Name,Start,End,Duration
10/23/15,place,Cornell Tech,2015-10-23T10:45:35-04:00,2015-10-23T13:51:55-04:00,11180
10/23/15,move,walking,2015-10-23T13:51:55-04:00,2015-10-23T14:00:54-04:00,539
10/23/15,place,Chelsea Market,2015-10-23T14:00:54-04:00,2015-10-23T14:26:19-04:00,1525
10/23/15,move,walking,2015-10-23T14:26:19-04:00,2015-10-23T14:34:02-04:00,463
10/23/15,place,Cornell Tech,2015-10-23T14:34:02-04:00,2015-10-23T18:26:58-04:00,13976
10/23/15,move,walking,2015-10-23T18:26:58-04:00,2015-10-23T18:34:30-04:00,452
10/23/15,move,train,2015-10-23T18:34:30-04:00,2015-10-23T18:38:00-04:00,210
10/23/15,move,walking,2015-10-23T18:38:00-04:00,2015-10-23T18:48:02-04:00,602
10/23/15,place,Amsterdam Billiards & Bar,2015-10-23T18:48:02-04:00,2015-10-23T19:31:59-04:00,2637
10/23/15,move,walking,2015-10-23T19:31:59-04:00,2015-10-23T19:37:54-04:00,355
10/23/15,place,Best Buy,2015-10-23T19:37:54-04:00,2015-10-23T20:18:45-04:00,2451
10/23/15,move,walking,2015-10-23T20:18:45-04:00,2015-10-23T20:24:52-04:00,367
10/23/15,place,Burlington Coat Factory,2015-10-23T20:24:52-04:00,2015-10-23T21:56:54-04:00,5522
10/23/15,move,walking,2015-10-23T21:56:54-04:00,2015-10-23T22:07:10-04:00,616
10/23/15,place,Party City,2015-10-23T22:07:10-04:00,2015-10-23T22:39:00-04:00,1910
10/23/15,move,walking,2015-10-23T22:39:00-04:00,2015-10-23T22:54:04-04:00,904
10/23/15,place,Bunga's Den,2015-10-23T22:54:04-04:00,2015-10-24T00:00:00-04:00,3956
