Date,Activity,Group,Duration,Distance,Steps,Calories
10/26/15,running,running,1111,1.592,2847,0
10/26/15,train,transport,601,2.181,0,0
10/26/15,cycling,cycling,1200,0.000,0,0
10/26/15,walking,walking,6219,4.680,10040,0
10/26/15,bus,transport,841,1.491,0,0
10/26/15,rowing,,1200,0.000,0,0
10/27/15,walking,walking,6667,4.695,11174,0
10/27/15,transport,transport,2011,3.394,0,0
10/28/15,walking,walking,3182,2.287,5286,0
10/28/15,transport,transport,545,2.141,0,0
10/29/15,walking,walking,3596,2.538,6087,0
