Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
10/27/15,walking,walking,2015-10-27T01:01:10-04:00,2015-10-27T01:14:22-04:00,792,0.600,1208,0
10/27/15,walking,walking,2015-10-27T10:08:15-04:00,2015-10-27T10:12:30-04:00,255,0.177,416,0
10/27/15,walking,walking,2015-10-27T10:15:56-04:00,2015-10-27T10:16:26-04:00,30,0.019,60,0
10/27/15,walking,walking,2015-10-27T11:34:03-04:00,2015-10-27T11:36:03-04:00,120,0.117,251,0
10/27/15,walking,walking,2015-10-27T11:48:50-04:00,2015-10-27T12:03:37-04:00,887,0.741,1564,0
10/27/15,walking,walking,2015-10-27T12:03:37-04:00,2015-10-27T12:04:03-04:00,26,0.008,21,0
10/27/15,walking,walking,2015-10-27T12:46:39-04:00,2015-10-27T12:57:50-04:00,671,0.546,1157,0
10/27/15,walking,walking,2015-10-27T17:34:38-04:00,2015-10-27T17:36:42-04:00,124,0.096,206,0
10/27/15,walking,walking,2015-10-27T18:25:55-04:00,2015-10-27T18:28:15-04:00,140,0.088,281,0
10/27/15,transport,transport,2015-10-27T18:28:14-04:00,2015-10-27T18:49:15-04:00,1261,1.534,0,0
10/27/15,walking,walking,2015-10-27T18:49:15-04:00,2015-10-27T18:53:15-04:00,240,0.171,443,0
10/27/15,transport,transport,2015-10-27T18:53:15-04:00,2015-10-27T18:57:15-04:00,240,0.567,0,0
10/27/15,walking,walking,2015-10-27T18:57:16-04:00,2015-10-27T19:06:19-04:00,543,0.285,839,0
10/27/15,walking,walking,2015-10-27T19:19:16-04:00,2015-10-27T19:24:53-04:00,337,0.207,666,0
10/27/15,walking,walking,2015-10-27T19:26:17-04:00,2015-10-27T19:31:33-04:00,316,0.178,382,0
10/27/15,walking,walking,2015-10-27T19:55:52-04:00,2015-10-27T20:09:00-04:00,788,0.560,1320,0
10/27/15,walking,walking,2015-10-27T20:26:31-04:00,2015-10-27T20:29:01-04:00,150,0.089,191,0
10/27/15,walking,walking,2015-10-27T21:40:43-04:00,2015-10-27T21:41:43-04:00,60,0.037,121,0
10/27/15,walking,walking,2015-10-27T22:25:07-04:00,2015-10-27T22:25:37-04:00,30,0.022,70,0
10/27/15,walking,walking,2015-10-27T22:26:23-04:00,2015-10-27T22:31:07-04:00,284,0.138,443,0
10/27/15,transport,transport,2015-10-27T22:31:07-04:00,2015-10-27T22:39:37-04:00,510,1.292,0,0
10/27/15,walking,walking,2015-10-27T22:39:37-04:00,2015-10-27T22:53:11-04:00,814,0.592,1455,0
10/27/15,walking,walking,2015-10-27T23:29:39-04:00,2015-10-27T23:30:39-04:00,60,0.025,80,0
