Date,Type,Name,Start,End,Duration
11/1/15,place,Cornell Tech,2015-11-01T00:00:00-04:00,2015-11-01T01:06:55-04:00,4015
11/1/15,move,walking,2015-11-01T01:06:55-04:00,2015-11-01T01:10:04-04:00,189
11/1/15,place,Home,2015-11-01T01:10:04-04:00,2015-11-01T09:23:36-05:00,33212
11/1/15,move,walking,2015-11-01T09:23:36-05:00,2015-11-01T09:41:09-05:00,1053
11/1/15,place,Church of St. Francis of Assisi,2015-11-01T09:41:09-05:00,2015-11-01T10:25:31-05:00,2662
11/1/15,move,walking,2015-11-01T10:25:31-05:00,2015-11-01T10:47:42-05:00,1331
11/1/15,place,Cornell Tech,2015-11-01T10:47:42-05:00,2015-11-01T12:00:29-05:00,4367
11/1/15,move,walking,2015-11-01T12:00:29-05:00,2015-11-01T12:25:15-05:00,1486
11/1/15,place,Place in Penn Station South,2015-11-01T12:25:15-05:00,2015-11-01T12:28:41-05:00,206
11/1/15,move,walking,2015-11-01T12:28:41-05:00,2015-11-01T12:40:15-05:00,694
11/1/15,place,Cornell Tech,2015-11-01T12:40:16-05:00,2015-11-01T20:21:25-05:00,27669
11/1/15,move,walking,2015-11-01T20:21:25-05:00,2015-11-01T20:30:37-05:00,552
11/1/15,place,Home,2015-11-01T20:30:37-05:00,2015-11-02T00:00:00-05:00,12563
