Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
11/2/15,walking,walking,2015-11-02T08:13:59-05:00,2015-11-02T08:23:09-05:00,550,0.549,1177,0
11/2/15,running,running,2015-11-02T08:17:39-05:00,2015-11-02T08:31:40-05:00,841,1.176,2103,0
11/2/15,walking,walking,2015-11-02T08:59:06-05:00,2015-11-02T09:04:43-05:00,337,0.301,738,0
11/2/15,walking,walking,2015-11-02T10:09:49-05:00,2015-11-02T10:10:19-05:00,30,0.022,70,0
11/2/15,walking,walking,2015-11-02T10:14:45-05:00,2015-11-02T10:23:56-05:00,551,0.319,1026,0
11/2/15,walking,walking,2015-11-02T10:25:50-05:00,2015-11-02T10:26:20-05:00,30,0.016,50,0
11/2/15,walking,walking,2015-11-02T11:00:33-05:00,2015-11-02T11:01:03-05:00,30,0.019,60,0
11/2/15,walking,walking,2015-11-02T12:03:13-05:00,2015-11-02T12:07:13-05:00,240,0.197,423,0
11/2/15,walking,walking,2015-11-02T13:13:09-05:00,2015-11-02T13:14:39-05:00,90,0.047,151,0
11/2/15,walking,walking,2015-11-02T14:04:53-05:00,2015-11-02T14:12:24-05:00,451,0.319,685,0
11/2/15,walking,walking,2015-11-02T15:44:35-05:00,2015-11-02T15:52:05-05:00,450,0.234,503,0
11/2/15,walking,walking,2015-11-02T16:29:07-05:00,2015-11-02T16:31:09-05:00,122,0.076,163,0
11/2/15,walking,walking,2015-11-02T17:38:49-05:00,2015-11-02T17:42:49-05:00,240,0.206,442,0
11/2/15,walking,walking,2015-11-02T18:00:50-05:00,2015-11-02T18:05:38-05:00,288,0.170,364,0
11/2/15,walking,walking,2015-11-02T20:18:46-05:00,2015-11-02T20:27:48-05:00,542,0.314,675,0
11/2/15,walking,walking,2015-11-02T23:18:38-05:00,2015-11-02T23:19:08-05:00,30,0.012,40,0
11/2/15,walking,walking,2015-11-02T23:41:44-05:00,2015-11-02T23:52:46-05:00,662,0.261,777,0
11/3/15,walking,walking,2015-11-03T09:37:53-05:00,2015-11-03T09:42:47-05:00,294,0.231,497,0
11/3/15,walking,walking,2015-11-03T10:04:13-05:00,2015-11-03T10:04:43-05:00,30,0.016,50,0
11/3/15,walking,walking,2015-11-03T13:32:51-05:00,2015-11-03T13:33:21-05:00,30,0.019,60,0
11/3/15,walking,walking,2015-11-03T19:00:30-05:00,2015-11-03T19:03:30-05:00,180,0.122,261,0
11/3/15,walking,walking,2015-11-03T20:13:29-05:00,2015-11-03T20:13:59-05:00,30,0.016,50,0
11/3/15,walking,walking,2015-11-03T21:07:20-05:00,2015-11-03T21:07:50-05:00,30,0.012,40,0
11/3/15,walking,walking,2015-11-03T23:41:35-05:00,2015-11-03T23:42:35-05:00,60,0.034,110,0
11/4/15,walking,walking,2015-11-04T00:56:10-05:00,2015-11-04T00:56:40-05:00,30,0.012,40,0
11/4/15,walking,walking,2015-11-04T01:00:42-05:00,2015-11-04T01:10:28-05:00,586,0.321,746,0
11/4/15,walking,walking,2015-11-04T11:23:35-05:00,2015-11-04T11:26:05-05:00,150,0.122,262,0
11/4/15,walking,walking,2015-11-04T12:18:15-05:00,2015-11-04T12:19:45-05:00,90,0.047,151,0
11/4/15,walking,walking,2015-11-04T13:52:04-05:00,2015-11-04T13:53:07-05:00,63,0.026,85,0
11/4/15,walking,walking,2015-11-04T14:06:14-05:00,2015-11-04T14:10:14-05:00,240,0.183,392,0
11/4/15,walking,walking,2015-11-04T16:48:17-05:00,2015-11-04T16:49:58-05:00,101,0.058,186,0
11/4/15,walking,walking,2015-11-04T17:00:00-05:00,2015-11-04T17:05:49-05:00,349,0.232,498,0
11/4/15,walking,walking,2015-11-04T18:33:47-05:00,2015-11-04T18:35:17-05:00,90,0.040,131,0
11/4/15,walking,walking,2015-11-04T20:08:41-05:00,2015-11-04T20:09:11-05:00,30,0.009,20,0
11/4/15,walking,walking,2015-11-04T21:06:26-05:00,2015-11-04T21:06:56-05:00,30,0.016,50,0
11/4/15,walking,walking,2015-11-04T21:39:32-05:00,2015-11-04T21:48:36-05:00,544,0.343,860,0
11/4/15,walking,walking,2015-11-04T21:51:34-05:00,2015-11-04T21:58:06-05:00,392,0.242,687,0
11/4/15,walking,walking,2015-11-04T21:59:35-05:00,2015-11-04T22:03:36-05:00,241,0.167,372,0
11/4/15,walking,walking,2015-11-04T23:05:40-05:00,2015-11-04T23:08:10-05:00,150,0.112,241,0
11/5/15,walking,walking,2015-11-05T00:19:22-05:00,2015-11-05T00:19:52-05:00,30,0.022,70,0
11/5/15,walking,walking,2015-11-05T02:19:28-05:00,2015-11-05T02:21:31-05:00,123,0.101,217,0
11/5/15,walking,walking,2015-11-05T02:45:18-05:00,2015-11-05T02:49:24-05:00,246,0.220,463,0
11/5/15,walking,walking,2015-11-05T02:51:52-05:00,2015-11-05T02:52:22-05:00,30,0.009,30,0
11/5/15,walking,walking,2015-11-05T09:53:15-05:00,2015-11-05T09:59:38-05:00,383,0.251,734,0
